session,stimulus_type,nth_stimulus_per_type,difficulty,probability_of_sup,informativity,relevance,effect_size,rating_in_d,rating_error,rating_direction,relevance_obj,relevance_pstand
Hl80glmbOEFk5XiUe1UtMJjzrovmmC2-AfALl_L-SVwoSdYgpvuLjDUAXBDdzgSM,text,6,3,81,3,0,0.5,-1.24153284681854,-1.74153284681854,false effdir,0,NA
AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt,plot,1,5,45,5,1000,0.2,0.17771198098851532,-0.022288019011484694,correct effdir,0,NA
AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt,plot,2,5,43,5,1000,0.5,0.24943073588532122,-0.2505692641146788,correct effdir,0,NA
AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt,plot,3,5,43,5,1000,0.8,0.24943073588532122,-0.5505692641146789,correct effdir,0,NA
AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt,plot,4,5,53,5,1000,-0.8,-0.10644765981953207,-0.693552340180468,correct effdir,0.8,NA
AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt,plot,5,5,50,5,1000,-0.2,-0,-0.2,false effdir,0.2,NA
AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt,plot,6,5,50,5,1000,-0.5,-0,-0.5,false effdir,0.5,NA
AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt,text,1,6,58,6,1000,-0.2,-0.285520496357095,0.08552049635709497,correct effdir,0.2,NA
AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt,text,2,6,32,6,1000,0.8,0.6614259848133471,-0.1385740151866529,correct effdir,0,NA
AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt,text,3,6,25,6,1000,0.5,0.9538725524089398,0.45387255240893976,correct effdir,0,NA
AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt,text,4,6,20,6,1000,0.2,1.1902321628999897,0.9902321628999897,correct effdir,0,NA
AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt,text,5,6,77,6,1000,-0.8,-1.044887234634358,0.24488723463435802,correct effdir,0.8,NA
AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt,text,6,6,73,6,1000,-0.5,-0.8666484430941356,0.3666484430941356,correct effdir,0.5,NA
v7LNGIW4tWrJFbqO588QbbBbWOqqAQ_qLRPN1SPrrOSEsRAGr4RfJ5qH4-srW92i,plot,1,6,49,6,0,0.2,0.03545279005335607,-0.16454720994664396,correct effdir,0,-0.8005310350565482
v7LNGIW4tWrJFbqO588QbbBbWOqqAQ_qLRPN1SPrrOSEsRAGr4RfJ5qH4-srW92i,plot,2,6,55,6,100,-0.5,-0.1777119809885155,-0.3222880190114845,correct effdir,0.5,0.8643515335185955
v7LNGIW4tWrJFbqO588QbbBbWOqqAQ_qLRPN1SPrrOSEsRAGr4RfJ5qH4-srW92i,plot,3,6,39,6,0,0.5,0.3950167667445473,-0.10498323325545272,correct effdir,0,-0.8005310350565482
v7LNGIW4tWrJFbqO588QbbBbWOqqAQ_qLRPN1SPrrOSEsRAGr4RfJ5qH4-srW92i,plot,4,6,30,6,0,0.8,0.7416143171871158,-0.058385682812884254,correct effdir,0,-0.8005310350565482
v7LNGIW4tWrJFbqO588QbbBbWOqqAQ_qLRPN1SPrrOSEsRAGr4RfJ5qH4-srW92i,plot,5,6,67,6,120,-0.8,-0.6221311651615697,-0.1778688348384303,correct effdir,0.8,1.1973280472336243
v7LNGIW4tWrJFbqO588QbbBbWOqqAQ_qLRPN1SPrrOSEsRAGr4RfJ5qH4-srW92i,plot,6,6,56,6,0,-0.2,-0.21350271205636903,0.01350271205636902,correct effdir,0.2,-0.8005310350565482
v7LNGIW4tWrJFbqO588QbbBbWOqqAQ_qLRPN1SPrrOSEsRAGr4RfJ5qH4-srW92i,text,1,7,60,6,100,-0.2,-0.35828690924258333,0.15828690924258332,correct effdir,0.2,0.8643515335185955
v7LNGIW4tWrJFbqO588QbbBbWOqqAQ_qLRPN1SPrrOSEsRAGr4RfJ5qH4-srW92i,text,2,6,47,6,0,0.2,0.10644765981953207,-0.09355234018046794,correct effdir,0,-0.8005310350565482
v7LNGIW4tWrJFbqO588QbbBbWOqqAQ_qLRPN1SPrrOSEsRAGr4RfJ5qH4-srW92i,text,3,6,79,6,127,-0.8,-1.1404518645190194,0.3404518645190193,correct effdir,0.8,1.3138698270338842
v7LNGIW4tWrJFbqO588QbbBbWOqqAQ_qLRPN1SPrrOSEsRAGr4RfJ5qH4-srW92i,text,4,6,42,6,0,0.5,0.28552049635709514,-0.21447950364290486,correct effdir,0,-0.8005310350565482
v7LNGIW4tWrJFbqO588QbbBbWOqqAQ_qLRPN1SPrrOSEsRAGr4RfJ5qH4-srW92i,text,5,6,64,6,130,-0.5,-0.5069372869677314,0.0069372869677314375,correct effdir,0.5,1.3638163040911386
v7LNGIW4tWrJFbqO588QbbBbWOqqAQ_qLRPN1SPrrOSEsRAGr4RfJ5qH4-srW92i,text,6,6,15,6,0,0.8,1.4657381559184335,0.6657381559184334,correct effdir,0,-0.8005310350565482
qhGJ5oDWR7ebSFmviMVvxwkZ8sel36cNt6ViEVILvxknsO2VlVhwXLMOQOIAuztT,plot,1,7,45,7,40,0.2,0.17771198098851532,-0.022288019011484694,correct effdir,0,-1.0269063060992858
qhGJ5oDWR7ebSFmviMVvxwkZ8sel36cNt6ViEVILvxknsO2VlVhwXLMOQOIAuztT,plot,2,7,53,7,75,-0.5,-0.10644765981953207,-0.3935523401804679,correct effdir,0.5,-0.2567265765248213
qhGJ5oDWR7ebSFmviMVvxwkZ8sel36cNt6ViEVILvxknsO2VlVhwXLMOQOIAuztT,plot,3,7,59,7,100,-0.8,-0.3217971920157825,-0.47820280798421755,correct effdir,0.8,0.29340180174265335
